time,xmin,xmax,ymin,ymax,class
17.6,607.7714233398438,919.0075073242188,310.90118408203125,404.36700439453125,reer mirror
17.6,959.9478149414062,1058.9481201171875,550.2636108398438,627.9819946289062,speed
17.6,0.08453178405761719,36.97267150878906,529.2224731445312,677.244873046875,side mirror
17.64,1336.387451171875,1506.697265625,483.2392578125,594.1583862304688,side mirror
17.64,573.2471923828125,887.4926147460938,312.47021484375,407.3703918457031,reer mirror
17.64,933.5003051757812,1028.3970947265625,553.9691162109375,630.415283203125,speed
17.68,1314.0902099609375,1487.7489013671875,478.8915710449219,590.8609008789062,side mirror
17.68,551.155517578125,865.6453857421875,315.2384948730469,410.888671875,reer mirror
17.68,918.5780639648438,1015.8330688476562,555.4822998046875,629.5255737304688,speed
17.72,1301.21435546875,1470.8663330078125,478.8140563964844,587.4847412109375,side mirror
17.72,537.290771484375,851.5911254882812,314.8829345703125,410.27703857421875,reer mirror
17.72,908.8745727539062,1008.7640991210938,553.5181884765625,629.976806640625,speed
17.76,1292.77294921875,1457.65478515625,472.5039367675781,582.6500854492188,side mirror
17.76,521.2263793945312,842.6610717773438,312.4638366699219,410.5950012207031,reer mirror
17.76,896.0253295898438,998.9269409179688,550.9912719726562,627.5582885742188,speed
17.8,1286.323486328125,1451.70947265625,466.02191162109375,576.01904296875,side mirror
17.8,515.1806640625,832.9586791992188,309.6064758300781,408.4300537109375,reer mirror
17.8,889.9740600585938,984.4011840820312,549.4683837890625,621.8226928710938,speed
17.84,1283.4342041015625,1446.19775390625,462.7847900390625,570.6573486328125,side mirror
17.84,509.93060302734375,827.3014526367188,308.2326965332031,407.5256652832031,reer mirror
17.84,889.3643188476562,981.2982788085938,548.7486572265625,620.4708862304688,speed
17.88,1289.3848876953125,1455.91455078125,458.88385009765625,569.6546630859375,side mirror
17.88,514.6953735351562,833.0634765625,306.5592041015625,407.5291442871094,reer mirror
17.88,894.15380859375,992.060302734375,547.6984252929688,618.9074096679688,speed
17.92,530.3148193359375,848.06982421875,305.1039733886719,406.5498962402344,reer mirror
17.92,1308.866943359375,1476.5849609375,463.6183776855469,572.691162109375,side mirror
17.92,912.9069213867188,1009.4994506835938,547.6809692382812,618.9859008789062,speed
17.92,913.9127197265625,1007.2840576171875,547.5555419921875,618.7658081054688,side mirror
17.92,1311.220458984375,1477.3465576171875,467.7893371582031,573.1553344726562,speed
17.96,1342.8900146484375,1514.556884765625,466.593017578125,579.2374877929688,side mirror
17.96,567.1931762695312,878.6565551757812,307.944580078125,408.13623046875,reer mirror
17.96,943.73583984375,1037.7593994140625,549.5636596679688,619.8629760742188,speed
18.0,609.135498046875,917.7762451171875,311.4050598144531,410.72021484375,reer mirror
18.0,1383.6829833984375,1564.463134765625,472.0256652832031,587.2064208984375,side mirror
18.0,0.0,69.66500091552734,544.1917114257812,695.2901000976562,side mirror
18.0,980.6548461914062,1072.0697021484375,549.5499267578125,622.6846313476562,speed
18.0,981.228759765625,1071.988037109375,550.3917236328125,622.6401977539062,side mirror
18.04,1427.29443359375,1608.275390625,479.7970275878906,591.18701171875,side mirror
18.04,0.15369415283203125,114.41578674316406,547.5882568359375,703.1248168945312,side mirror
18.04,648.1289672851562,954.1708984375,320.2167663574219,413.5595397949219,reer mirror
18.04,1010.5317993164062,1111.6396484375,557.791259765625,631.5730590820312,speed
18.080000000000002,1.2943840026855469,153.81187438964844,551.5662841796875,704.968017578125,side mirror
18.080000000000002,670.8182373046875,974.8531494140625,321.71868896484375,420.9657897949219,reer mirror
18.080000000000002,1452.35693359375,1642.8343505859375,484.6965026855469,601.27783203125,side mirror
18.080000000000002,1032.926513671875,1133.370849609375,560.19677734375,635.36083984375,speed
18.12,0.0,179.5830078125,555.5422973632812,704.0582275390625,side mirror
18.12,1472.33251953125,1667.2362060546875,488.21392822265625,608.5208129882812,side mirror
18.12,691.7241821289062,998.3707275390625,323.41571044921875,422.91961669921875,reer mirror
18.12,1049.62255859375,1152.87060546875,565.6614379882812,639.0668334960938,speed
18.16,705.1719360351562,1011.4031982421875,329.1603698730469,428.36517333984375,reer mirror
18.16,0.0,192.75819396972656,558.053466796875,707.65869140625,side mirror
18.16,1486.29248046875,1687.5118408203125,495.591552734375,613.4624633789062,side mirror
18.16,1059.9088134765625,1162.7979736328125,568.2015991210938,644.5955810546875,speed
18.2,1496.85498046875,1699.3341064453125,497.8052673339844,617.71240234375,side mirror
18.2,0.0,209.94801330566406,556.0393676757812,701.8997192382812,side mirror
18.2,716.202392578125,1015.6627807617188,329.6199645996094,427.62872314453125,reer mirror
18.2,1068.9412841796875,1166.1322021484375,570.899658203125,643.8111572265625,speed
18.240000000000002,1505.0064697265625,1709.7491455078125,497.09710693359375,615.9321899414062,side mirror
18.240000000000002,722.9546508789062,1024.3892822265625,328.5815124511719,426.5046691894531,reer mirror
18.240000000000002,0.0,216.7846221923828,550.3493041992188,693.3470458984375,side mirror
18.240000000000002,1075.6322021484375,1170.73291015625,568.8623657226562,642.901611328125,speed
18.28,6.404937744140625,223.20309448242188,548.08251953125,686.9017333984375,side mirror
18.28,730.48388671875,1034.120361328125,325.7989501953125,423.8326110839844,reer mirror
18.28,1511.998779296875,1716.1790771484375,495.17779541015625,614.4583740234375,side mirror
18.28,1080.225341796875,1181.567626953125,565.3101196289062,641.1051635742188,speed
18.32,11.836097717285156,230.0931396484375,545.8497314453125,682.9700927734375,side mirror
18.32,736.01806640625,1034.8546142578125,324.45458984375,421.4228515625,reer mirror
18.32,1520.1580810546875,1723.9786376953125,495.0445861816406,616.2861938476562,side mirror
18.32,1084.614013671875,1187.536865234375,565.925048828125,639.0170288085938,speed
18.36,16.376197814941406,239.69325256347656,540.3007202148438,678.7061157226562,side mirror
18.36,1525.6219482421875,1730.9718017578125,496.2112731933594,617.5872192382812,side mirror
18.36,740.7235717773438,1043.806640625,324.2390441894531,419.7099609375,reer mirror
18.36,1089.7906494140625,1192.8509521484375,564.9873657226562,638.6298217773438,speed
18.400000000000002,27.6591796875,252.09722900390625,535.9114379882812,674.7943725585938,side mirror
18.400000000000002,743.5929565429688,1048.4979248046875,323.5108642578125,418.2673034667969,reer mirror
18.400000000000002,1532.4609375,1738.6834716796875,498.3038024902344,619.8843383789062,side mirror
18.400000000000002,1101.5101318359375,1202.86083984375,566.1009521484375,639.273193359375,speed
18.44,1540.3253173828125,1747.3780517578125,498.1333923339844,622.2070922851562,side mirror
18.44,751.7761840820312,1056.16796875,324.5148620605469,418.90740966796875,reer mirror
18.44,36.157859802246094,256.88397216796875,535.6235961914062,673.6279907226562,side mirror
18.44,1103.824951171875,1205.1676025390625,565.8543701171875,639.5667724609375,speed
18.48,1546.9361572265625,1752.5423583984375,500.417724609375,623.0498657226562,side mirror
18.48,45.520545959472656,263.95037841796875,533.4754638671875,673.070068359375,side mirror
18.48,755.3408813476562,1059.4544677734375,324.0809326171875,418.0183410644531,reer mirror
18.48,1106.2047119140625,1211.9327392578125,566.7378540039062,640.9664306640625,speed
18.52,1551.306884765625,1761.81298828125,498.8471374511719,623.4129638671875,side mirror
18.52,761.5368041992188,1062.4979248046875,324.39276123046875,418.84552001953125,reer mirror
18.52,52.73316192626953,269.6894836425781,532.7427978515625,670.3380737304688,side mirror
18.52,1110.2132568359375,1214.138671875,567.091552734375,639.6410522460938,speed
18.56,1555.97900390625,1765.093505859375,500.12908935546875,623.1828002929688,side mirror
18.56,57.14623260498047,272.1201171875,531.4725952148438,667.1946411132812,side mirror
18.56,764.7470703125,1064.734619140625,324.0368347167969,418.2495422363281,reer mirror
18.56,1112.2684326171875,1213.173095703125,567.6831665039062,639.7510986328125,speed
18.6,1558.3011474609375,1766.773681640625,500.2239990234375,623.1982421875,side mirror
18.6,60.77735137939453,273.54296875,530.6571655273438,665.7998657226562,side mirror
18.6,766.3745727539062,1067.230712890625,323.7074890136719,418.0047912597656,reer mirror
18.6,1114.0118408203125,1213.144775390625,564.460205078125,638.4577026367188,speed
18.64,61.41938781738281,274.3670654296875,532.37158203125,667.5504760742188,side mirror
18.64,1558.6510009765625,1767.059814453125,500.1588134765625,623.0960083007812,side mirror
18.64,766.2639770507812,1067.0328369140625,323.9617919921875,417.9575500488281,reer mirror
18.64,1114.723876953125,1212.1781005859375,565.034912109375,638.4069213867188,speed
18.68,1556.735595703125,1766.340087890625,500.3605041503906,623.16015625,side mirror
18.68,60.93486785888672,273.3255615234375,534.3009033203125,667.6864624023438,side mirror
18.68,766.2828369140625,1066.5074462890625,324.5007019042969,418.8023986816406,reer mirror
18.68,1113.5152587890625,1217.8271484375,563.4495849609375,640.111328125,speed
18.72,1555.660400390625,1765.705078125,501.4098815917969,622.7305908203125,side mirror
18.72,766.1486206054688,1066.3646240234375,324.50537109375,418.67706298828125,reer mirror
18.72,60.732261657714844,273.33416748046875,534.452880859375,668.5228881835938,side mirror
18.72,1112.5072021484375,1215.5428466796875,566.0546875,640.9217529296875,speed
18.76,1555.7698974609375,1765.8900146484375,501.59820556640625,623.2959594726562,side mirror
18.76,766.5192260742188,1065.427490234375,324.5779724121094,418.9649963378906,reer mirror
18.76,59.64839172363281,272.97418212890625,535.2609252929688,670.2722778320312,side mirror
18.76,1113.3009033203125,1215.9210205078125,565.9385375976562,640.9953002929688,speed
