participant number,Scenario number,index 1,index 2,dataframe eye,start drive,end drive,initial start eye,initial end eye,lag,new start eye,new end eye,star video,end video,start in,end in,video_path
27,4.0,256,4453,data_eye\27_4.0_5.129274629812438.pkl,2022-10-27 09:32:44.773,2022-10-27 09:34:08.861,2022-10-27 09:32:28,2022-10-27 09:36:33.865879,-11.643725,2022-10-27 09:32:39.643725,2022-10-27 09:36:45.509604,5.129274629812438,89.21727462981244,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T083228Z\scenevideo.mp4
27,8.0,5373,11100,data_eye\27_8.0_107.64227462981245.pkl,2022-10-27 09:34:27.286,2022-10-27 09:36:22.042,2022-10-27 09:32:28,2022-10-27 09:36:33.865879,-11.643725,2022-10-27 09:32:39.643725,2022-10-27 09:36:45.509604,107.64227462981245,222.39827462981245,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T083228Z\scenevideo.mp4
28,3.0,458,4400,data_eye\28_3.0_9.216670848621138.pkl,2022-10-27 09:48:33.973,2022-10-27 09:49:52.967,2022-10-27 09:48:12,2022-10-27 09:53:51.288833,-12.756329,2022-10-27 09:48:24.756329,2022-10-27 09:54:04.045162,9.216670848621138,88.21067084862113,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T084812Z\scenevideo.mp4
28,5.0,8608,14431,data_eye\28_5.0_172.50967084862114.pkl,2022-10-27 09:51:17.266,2022-10-27 09:53:13.936,2022-10-27 09:48:12,2022-10-27 09:53:51.288833,-12.756329,2022-10-27 09:48:24.756329,2022-10-27 09:54:04.045162,172.50967084862114,289.17967084862113,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T084812Z\scenevideo.mp4
28,4.0,242,4214,data_eye\28_4.0_4.848768.pkl,2022-10-27 09:54:22.823,2022-10-27 09:55:42.406,2022-10-27 09:54:01,2022-10-27 09:58:04.578161,-16.974232,2022-10-27 09:54:17.974232,2022-10-27 09:58:21.552393,4.848768,84.431768,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T085401Z\scenevideo.mp4
28,8,5315,10272,data_eye\28_8_106.49776800000001.pkl,2022-10-27 09:56:04.472,2022-10-27 09:57:43.793,2022-10-27 09:54:01,2022-10-27 09:58:04.578161,-16.974232,2022-10-27 09:54:17.974232,2022-10-27 09:58:21.552393,106.49776800000001,205.818768,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T085401Z\scenevideo.mp4
29,3.0,1256,5163,data_eye\29_3.0_25.165492218513965.pkl,2022-10-27 10:16:06.017,2022-10-27 10:17:25.148,2022-10-27 10:15:40,2022-10-27 10:19:30.278850,-0.851508,2022-10-27 10:15:40.851508,2022-10-27 10:19:31.130358,25.165492218513965,104.29649221851396,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T091540Z\scenevideo.mp4
29,5.0,5858,11314,data_eye\29_5.0_118.22649221851397.pkl,2022-10-27 10:17:39.078,2022-10-27 10:19:28.392,2022-10-27 10:15:40,2022-10-27 10:19:30.278850,-0.851508,2022-10-27 10:15:40.851508,2022-10-27 10:19:31.130358,118.22649221851397,227.54049221851398,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T091540Z\scenevideo.mp4
29,4.0,11131,13465,data_eye\29_4.0_230.26898139333622.pkl,2022-10-27 10:20:28.672,2022-10-27 10:21:39.890,2022-10-27 10:20:07,2022-10-27 10:24:45.220312,208.596981,2022-10-27 10:16:38.403019,2022-10-27 10:21:16.623331,230.26898139333622,301.48698139333624,True,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T092007Z\scenevideo.mp4
29,8.0,0,13465,data_eye\29_8.0_357.80198139333623.pkl,2022-10-27 10:22:36.205,2022-10-27 10:24:33.375,2022-10-27 10:20:07,2022-10-27 10:24:45.220312,208.596981,2022-10-27 10:16:38.403019,2022-10-27 10:21:16.623331,357.80198139333623,474.97198139333625,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T092007Z\scenevideo.mp4
30,3.0,382,5099,data_eye\30_3.0_7.653842606149341.pkl,2022-10-27 11:00:14.329,2022-10-27 11:01:48.844,2022-10-27 10:59:55,2022-10-27 11:05:25.316357,-11.675157,2022-10-27 11:00:06.675157,2022-10-27 11:05:36.991514,7.653842606149341,102.16884260614934,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T095955Z\scenevideo.mp4
30,5.0,8795,13861,data_eye\30_5.0_176.23484260614936.pkl,2022-10-27 11:03:02.910,2022-10-27 11:04:44.416,2022-10-27 10:59:55,2022-10-27 11:05:25.316357,-11.675157,2022-10-27 11:00:06.675157,2022-10-27 11:05:36.991514,176.23484260614936,277.7408426061494,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T095955Z\scenevideo.mp4
