epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,5512.38,0.94857,0.58656,0.99269,0.98909,0.96906,0.995,0.77054,0.90057,0.5311,1.01414,0.000749939,0.000749939,0.000749939
50,5637.67,0.94524,0.60427,1.02343,0.98277,0.9697,0.995,0.77064,0.86929,0.54493,1.00304,0.000735792,0.000735792,0.000735792
51,5774,0.97579,0.59013,1.00477,0.9789,0.96235,0.995,0.78032,0.89554,0.53366,0.99936,0.000721645,0.000721645,0.000721645
52,5912.51,0.97335,0.58911,0.99652,0.98089,0.95925,0.995,0.76108,0.90366,0.48747,1.02212,0.000707498,0.000707498,0.000707498
53,6057.28,0.96023,0.58131,0.99479,0.97754,0.95817,0.995,0.79148,0.87643,0.48605,1.01817,0.000693351,0.000693351,0.000693351
54,6195.66,0.97125,0.56502,0.98639,0.97897,0.96265,0.995,0.79417,0.82211,0.51486,0.99481,0.000679204,0.000679204,0.000679204
55,6315.64,0.95348,0.56109,0.98268,0.91208,0.9848,0.97278,0.76581,0.83145,0.51163,0.99304,0.000665057,0.000665057,0.000665057
56,6443.24,0.91196,0.55598,0.98404,0.98443,0.94269,0.995,0.76381,0.89133,0.50397,1.012,0.000650909,0.000650909,0.000650909
57,7546.34,0.92286,0.5564,0.9967,0.97089,0.94313,0.995,0.749,0.85533,0.52489,1.01343,0.000636762,0.000636762,0.000636762
58,7706.63,0.90601,0.55255,0.97027,0.97302,0.94771,0.99197,0.74852,0.8804,0.50648,1.02517,0.000622615,0.000622615,0.000622615
59,8115.92,0.91401,0.54986,0.98575,0.92926,0.9934,0.995,0.76845,0.91582,0.48698,1.03353,0.000608468,0.000608468,0.000608468
60,8218.25,0.91787,0.54816,0.97848,0.96128,0.9558,0.995,0.73302,0.96043,0.55321,1.03846,0.000594321,0.000594321,0.000594321
61,8327.5,0.91257,0.55143,0.98,0.98374,0.96432,0.99197,0.75376,0.93465,0.53083,1.03793,0.000580174,0.000580174,0.000580174
62,8430.62,0.86764,0.52753,0.95568,0.97948,0.9756,0.995,0.76336,0.94743,0.49188,1.02094,0.000566027,0.000566027,0.000566027
63,8539.29,0.90008,0.53505,0.97257,0.98204,0.97484,0.995,0.78092,0.86497,0.48631,0.9993,0.00055188,0.00055188,0.00055188
64,8645.61,0.88521,0.52121,0.9631,0.9844,0.97089,0.995,0.77316,0.89448,0.47557,1.01409,0.000537733,0.000537733,0.000537733
65,8751.41,0.89985,0.53351,0.97329,0.98107,0.96729,0.995,0.76899,0.93875,0.49674,1.03352,0.000523586,0.000523586,0.000523586
66,8881.88,0.89817,0.5457,0.97638,0.97269,0.96986,0.995,0.7703,0.92547,0.48323,1.02486,0.000509438,0.000509438,0.000509438
67,9003.85,0.88571,0.52183,0.9514,0.96225,0.99147,0.995,0.77059,0.90035,0.48302,1.01172,0.000495291,0.000495291,0.000495291
68,9124.31,0.85804,0.52357,0.97879,0.97599,0.99825,0.995,0.77156,0.89992,0.46077,1.0129,0.000481144,0.000481144,0.000481144
69,9261.98,0.87145,0.51399,0.9715,0.95808,1,0.995,0.8011,0.85735,0.45813,0.99419,0.000466997,0.000466997,0.000466997
70,9392.81,0.84027,0.50686,0.96126,0.94365,1,0.995,0.78605,0.82771,0.4757,0.97842,0.00045285,0.00045285,0.00045285
71,9522.42,0.86958,0.51977,0.95704,0.92345,0.9913,0.995,0.75279,0.88698,0.48289,1.00107,0.000438703,0.000438703,0.000438703
72,9645.43,0.8525,0.52364,0.96028,0.95392,0.95992,0.99197,0.75538,0.89924,0.50534,1.01286,0.000424556,0.000424556,0.000424556
73,9770.35,0.84474,0.51415,0.95347,0.96995,0.96013,0.99197,0.76623,0.89191,0.47315,1.00814,0.000410409,0.000410409,0.000410409
74,9902.06,0.83804,0.49962,0.93744,0.98358,0.96392,0.99197,0.77168,0.83151,0.44227,1.00587,0.000396262,0.000396262,0.000396262
75,10033,0.84272,0.49594,0.95748,0.98448,0.96522,0.99197,0.76635,0.90932,0.45725,1.0223,0.000382115,0.000382115,0.000382115
76,10164,0.83765,0.5074,0.95901,0.97601,0.96407,0.99197,0.77549,0.84315,0.46803,1.00155,0.000367967,0.000367967,0.000367967
77,10297.6,0.84825,0.49361,0.95772,0.97,0.96212,0.99197,0.77261,0.86105,0.47582,0.99924,0.00035382,0.00035382,0.00035382
78,10428.1,0.83991,0.48895,0.9419,0.97386,0.96672,0.995,0.75541,0.88497,0.48727,1.01686,0.000339673,0.000339673,0.000339673
79,10553.5,0.82476,0.48134,0.93891,0.9816,0.96814,0.995,0.79073,0.84072,0.45171,1.00462,0.000325526,0.000325526,0.000325526
80,10682.1,0.84448,0.48796,0.95296,0.96483,0.99294,0.995,0.79089,0.80273,0.43108,1.01379,0.000311379,0.000311379,0.000311379
81,10802.4,0.81036,0.48154,0.94947,0.95951,0.993,0.995,0.77759,0.84036,0.44162,1.02153,0.000297232,0.000297232,0.000297232
82,10924.8,0.80215,0.47156,0.9519,0.9469,0.99288,0.995,0.77173,0.87567,0.43933,1.01118,0.000283085,0.000283085,0.000283085
83,11059.1,0.8097,0.47944,0.93133,0.9671,0.96496,0.995,0.76863,0.91257,0.46358,1.02314,0.000268938,0.000268938,0.000268938
84,11187.6,0.8125,0.48807,0.96067,0.96686,0.96774,0.995,0.76302,0.91326,0.44743,1.01108,0.000254791,0.000254791,0.000254791
85,11325.8,0.8217,0.4784,0.95992,0.97225,0.96871,0.995,0.75049,0.89262,0.44669,1.01227,0.000240644,0.000240644,0.000240644
86,11464.1,0.79071,0.45826,0.92302,0.97864,0.96883,0.995,0.77132,0.86649,0.44402,1.01533,0.000226497,0.000226497,0.000226497
87,11599.1,0.80927,0.47097,0.95504,0.97622,0.96953,0.995,0.75592,0.90368,0.4407,1.01603,0.000212349,0.000212349,0.000212349
88,11741.1,0.78313,0.46169,0.94385,0.97121,0.97063,0.995,0.75716,0.87607,0.4466,1.01547,0.000198202,0.000198202,0.000198202
89,11862.3,0.78339,0.46199,0.95052,0.9655,0.97019,0.995,0.78852,0.86174,0.45435,1.00154,0.000184055,0.000184055,0.000184055
90,11990.8,0.77599,0.46296,0.93258,0.95923,0.97141,0.995,0.78394,0.90323,0.44444,0.99564,0.000169908,0.000169908,0.000169908
91,12120.1,0.79094,0.50174,0.94898,0.95832,0.97184,0.995,0.77516,0.91312,0.44647,1.01315,0.000155761,0.000155761,0.000155761
92,12250.3,0.79175,0.48193,0.94665,0.95664,0.97165,0.995,0.78661,0.90936,0.45998,1.02148,0.000141614,0.000141614,0.000141614
93,12374.6,0.79046,0.49087,0.93606,0.95965,0.9709,0.995,0.77164,0.93462,0.47166,1.01908,0.000127467,0.000127467,0.000127467
94,12504.1,0.78276,0.47173,0.92924,0.96156,0.97026,0.995,0.75157,0.93207,0.45924,1.02252,0.00011332,0.00011332,0.00011332
95,12641.6,0.75863,0.45016,0.93552,0.9619,0.96992,0.995,0.73191,0.90655,0.45137,1.02833,9.91726e-05,9.91726e-05,9.91726e-05
96,12771,0.76733,0.45588,0.94253,0.96061,0.97085,0.995,0.7464,0.92033,0.44403,1.02752,8.50255e-05,8.50255e-05,8.50255e-05
97,12904.3,0.73362,0.44704,0.92711,0.96224,0.96895,0.995,0.75311,0.91262,0.44859,1.01876,7.08784e-05,7.08784e-05,7.08784e-05
98,13036.1,0.73341,0.43723,0.92802,0.96773,0.96253,0.99197,0.75088,0.90005,0.45323,1.01316,5.67313e-05,5.67313e-05,5.67313e-05
99,13165.5,0.7518,0.44782,0.94019,0.96586,0.96197,0.99197,0.76573,0.89964,0.45699,1.01426,4.25842e-05,4.25842e-05,4.25842e-05
100,13302.7,0.73686,0.44789,0.94081,0.96013,0.96679,0.995,0.77357,0.90134,0.45996,1.01535,2.84371e-05,2.84371e-05,2.84371e-05
